Test,R,Score,MaxScore,Energy,DefaultEnergy
R003,20,3990,4000,4568370,1973741100
R004,20,3938,4000,9223637,596264088
R005,20,3968,4000,5142068,655545536
R006,20,3968,4000,5094648,637784616
R007,20,3969,4000,4465605,578495752
R008,20,3945,4000,9227281,673310596
R009,20,3959,4000,7327219,723471044
R010,20,3969,4000,5144021,666826580
R011,20,3952,4000,7248946,615699776
R012,30,3995,4000,56078890,45885519824
R013,30,3995,4000,47316130,45885298064
R014,30,3993,4000,57349466,34648755920
R015,30,3994,4000,47524210,34648867088
R016,30,3994,4000,55729378,39132871312
R017,30,3994,4000,56203930,39133293136
R018,30,3991,4000,57474506,27896529232
R019,30,3991,4000,55937458,27896440336
R020,30,3995,4000,31640006,27672967984
R021,30,3997,4000,17563770,27672870544
R022,30,3992,4000,39614606,21354780784
R023,30,3995,4000,21609570,21354745744
R024,30,3995,4000,38304566,31537423008
R025,30,3993,4000,47581825,31537626360
R026,30,3993,4000,57242690,34034751664
R027,30,3995,4000,42789650,35624690440
R028,30,3994,4000,40023068,30012317400
R029,30,3988,4000,121945070,42068427280
R030,30,3987,4000,144552084,45051775136
R031,30,3993,4000,39136944,25331904460
R032,30,3995,4000,31590352,25332015436
R033,30,3981,4000,144754517,31974975322
R034,30,3984,4000,122092258,31955446376
R035,40,4994,5000,86113835,78634830512
R036,40,4991,5000,130727573,78634891376
R037,40,4995,5000,125191908,126844577272
R038,40,4992,5000,179226441,126844772608
R039,40,4997,5000,127711894,223378880924
R040,40,4995,5000,199196460,239006021372
R041,40,4986,5000,398429062,146290512180
R042,40,4986,5000,411337626,156328439476
R043,40,4992,5000,218563241,146290743660
R044,40,4993,5000,218484821,156328545484
R045,50,4993,5000,681908951,489063607096
R046,50,4994,5000,515130248,489063515344
R047,50,4997,5000,516463022,876814471512
R048,50,4996,5000,695200018,891150843848
R049,50,4991,5000,932949334,562260267496
R050,50,4993,5000,758515954,562260172552
R051,50,4994,5000,1056307072,895893114472
R052,50,4994,5000,1065723192,910728146120
R053,60,4981,5000,2459218993,673852254816
R054,60,4992,5000,1357436822,885476911584
R055,60,4994,5000,1345405778,1153989769856
R056,60,4995,5000,1378307025,1704609743784
R057,60,4996,5000,1491371966,1920498139924
R058,60,4996,5000,921062374,1244903704068
R059,60,4994,5000,729124100,694458677480
R060,70,5979,6000,5041947710,1471454504680
R061,70,5959,6000,9006541672,1342911531856
R062,70,5985,6000,4626122235,1901546961900
R063,70,5990,6000,3626413292,2352547778380
R064,70,5983,6000,5208464295,1949034749116
R065,70,5993,6000,3064173956,2671096144112
R066,70,5997,6000,3281712080,6564651051456
R067,70,5994,6000,6353340840,6622426486064
R068,80,5995,6000,5948653741,7643119630684
R069,80,5997,6000,2941536886,7643118681124
R070,80,5994,6000,9388192667,10893546905120
R071,90,5995,6000,10505547825,12640461621120
R072,90,5995,6000,15376037659,19027842276380
R073,90,5995,6000,12958300728,16862598624276
R074,90,5997,6000,11085732124,31408868230232
